person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
26,76000,MORTGAGE,10.0,HOMEIMPROVEMENT,A,5425,8.49,0,0.07,N,3
27,62400,MORTGAGE,12.0,DEBTCONSOLIDATION,A,12000,5.42,0,0.19,N,8
26,145992,MORTGAGE,0.0,PERSONAL,D,20000,,0,0.14,Y,2
38,200000,MORTGAGE,0.0,PERSONAL,B,20000,11.48,0,0.1,N,15
47,90000,RENT,1.0,VENTURE,D,25000,15.65,1,0.28,Y,17
23,90000,MORTGAGE,5.0,DEBTCONSOLIDATION,B,6000,11.89,0,0.07,N,4
23,91000,MORTGAGE,7.0,PERSONAL,D,1500,14.54,0,0.02,Y,4
22,62589,OWN,,VENTURE,C,7000,13.35,0,0.11,Y,2
29,40320,RENT,6.0,MEDICAL,B,7800,8.88,0,0.19,N,10
25,115000,MORTGAGE,4.0,VENTURE,A,20000,6.91,0,0.17,N,2
27,78200,OWN,4.0,MEDICAL,E,35000,17.99,1,0.38,Y,7
22,36000,MORTGAGE,0.0,PERSONAL,A,2000,,0,0.06,N,4
24,50000,MORTGAGE,5.0,PERSONAL,D,22800,17.27,0,0.46,N,2
28,78000,MORTGAGE,4.0,VENTURE,D,10000,15.99,1,0.13,Y,7
27,57996,RENT,11.0,EDUCATION,B,7500,12.21,0,0.13,N,10
24,60000,MORTGAGE,0.0,PERSONAL,B,15000,11.89,0,0.25,N,2
24,92000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,22000,10.99,0,0.24,N,4
24,33600,RENT,0.0,MEDICAL,B,4800,11.86,0,0.14,N,2
21,34000,RENT,4.0,EDUCATION,B,1800,11.49,0,0.05,N,4
21,72500,RENT,3.0,EDUCATION,C,14000,13.49,0,0.19,Y,2
39,100300,RENT,2.0,MEDICAL,D,25000,15.7,1,0.21,Y,16
22,36000,RENT,4.0,EDUCATION,B,6000,10.36,0,0.17,N,3
34,31800,MORTGAGE,,PERSONAL,A,1700,,1,0.05,N,9
29,200000,RENT,14.0,PERSONAL,B,16000,12.69,0,0.08,N,7
23,60000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,10000,,0,0.17,N,3
25,87000,MORTGAGE,4.0,MEDICAL,B,13000,11.26,0,0.15,N,3
25,60000,RENT,3.0,MEDICAL,C,3000,13.47,1,0.05,Y,3
27,31200,RENT,4.0,MEDICAL,A,10000,8.0,1,0.32,N,9
27,17000,RENT,1.0,VENTURE,A,1000,7.29,0,0.06,N,5
23,72000,MORTGAGE,7.0,VENTURE,B,2400,12.69,0,0.03,N,2
29,59354,MORTGAGE,5.0,MEDICAL,D,9600,13.67,1,0.14,Y,10
24,43300,MORTGAGE,2.0,EDUCATION,B,24000,10.62,0,0.55,N,2
23,50000,MORTGAGE,0.0,PERSONAL,A,6500,,0,0.13,N,4
24,76000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,13500,9.99,0,0.18,N,3
22,35400,OWN,6.0,EDUCATION,A,8000,6.03,0,0.23,N,2
22,80000,MORTGAGE,0.0,EDUCATION,B,15000,11.48,0,0.19,N,3
30,90000,RENT,3.0,MEDICAL,B,24000,11.49,0,0.27,N,6
23,42000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,11000,7.88,0,0.26,N,2
28,45000,RENT,3.0,EDUCATION,C,2800,,0,0.06,N,8
22,60000,RENT,,PERSONAL,A,10000,5.99,0,0.17,N,2
24,40000,RENT,3.0,VENTURE,A,7000,7.88,0,0.17,N,4
26,116000,MORTGAGE,5.0,VENTURE,C,5000,,1,0.04,Y,3
24,24000,RENT,5.0,MEDICAL,B,8975,11.83,1,0.37,N,2
23,58800,RENT,7.0,EDUCATION,B,3000,10.36,1,0.05,N,3
35,95142,MORTGAGE,18.0,PERSONAL,D,12000,14.84,0,0.13,Y,9
29,39000,RENT,1.0,HOMEIMPROVEMENT,D,10000,14.11,1,0.26,Y,7
23,30000,RENT,7.0,DEBTCONSOLIDATION,B,3000,12.69,1,0.1,N,4
23,50000,RENT,6.0,EDUCATION,E,6400,20.2,0,0.13,N,2
27,91200,RENT,3.0,DEBTCONSOLIDATION,C,5000,13.49,0,0.05,Y,10
35,62496,RENT,6.0,VENTURE,D,12000,14.11,0,0.19,Y,8
24,63554,MORTGAGE,,DEBTCONSOLIDATION,A,2500,7.51,0,0.04,N,2
21,30000,RENT,4.0,MEDICAL,A,6000,7.51,0,0.2,N,3
24,50000,RENT,1.0,DEBTCONSOLIDATION,C,1500,14.26,0,0.03,N,2
35,70360,RENT,8.0,EDUCATION,A,10000,6.62,0,0.14,N,5
25,93080,MORTGAGE,3.0,DEBTCONSOLIDATION,C,8450,13.49,0,0.09,Y,2
24,101000,OWN,5.0,MEDICAL,B,24250,12.53,0,0.24,N,4
28,28800,RENT,2.0,VENTURE,B,5000,10.65,0,0.17,N,9
22,50000,MORTGAGE,6.0,PERSONAL,A,8000,6.03,0,0.16,N,3
25,57996,RENT,5.0,EDUCATION,B,7400,10.36,0,0.13,N,2
22,103000,MORTGAGE,2.0,MEDICAL,B,6000,,0,0.06,N,4
42,80000,MORTGAGE,3.0,PERSONAL,B,10000,11.49,0,0.13,N,14
27,35000,RENT,4.0,DEBTCONSOLIDATION,C,14500,13.98,1,0.41,Y,8
24,95000,RENT,3.0,PERSONAL,A,12000,7.88,0,0.13,N,3
32,76254,RENT,3.0,HOMEIMPROVEMENT,B,14000,10.38,0,0.18,N,5
29,75000,MORTGAGE,0.0,PERSONAL,B,3000,9.45,0,0.04,N,10
23,28800,RENT,0.0,DEBTCONSOLIDATION,A,6000,8.94,0,0.21,N,3
35,85000,MORTGAGE,0.0,DEBTCONSOLIDATION,B,20000,12.21,0,0.24,N,9
24,30000,MORTGAGE,2.0,EDUCATION,A,1000,8.0,0,0.03,N,2
44,99000,MORTGAGE,3.0,EDUCATION,B,8000,9.25,0,0.08,N,14
25,32000,RENT,9.0,VENTURE,C,5000,14.27,1,0.16,Y,4
22,26400,MORTGAGE,2.0,DEBTCONSOLIDATION,B,4400,11.49,0,0.17,N,4
24,65000,RENT,1.0,MEDICAL,A,4000,5.42,0,0.06,N,2
35,72000,MORTGAGE,2.0,EDUCATION,E,20000,16.7,1,0.28,Y,9
28,16560,RENT,,PERSONAL,A,2500,6.99,0,0.15,N,10
23,57996,RENT,1.0,MEDICAL,C,11650,13.47,0,0.2,N,2
23,35500,MORTGAGE,0.0,MEDICAL,C,3000,11.28,0,0.08,Y,3
23,75000,RENT,5.0,PERSONAL,C,8000,13.79,0,0.11,N,3
36,90000,MORTGAGE,13.0,EDUCATION,A,12000,6.62,0,0.13,N,13
22,52500,MORTGAGE,6.0,VENTURE,C,8000,15.23,0,0.15,Y,4
22,55000,MORTGAGE,4.0,PERSONAL,A,5000,7.66,0,0.09,N,2
36,24000,MORTGAGE,2.0,MEDICAL,A,1500,9.63,0,0.06,N,14
30,45000,MORTGAGE,11.0,MEDICAL,A,2500,6.76,0,0.06,N,10
42,22000,RENT,,DEBTCONSOLIDATION,A,1000,7.29,0,0.05,N,13
23,46728,RENT,2.0,PERSONAL,B,2650,10.59,0,0.06,N,2
22,185000,RENT,4.0,EDUCATION,B,25000,11.36,0,0.14,N,4
24,9960,RENT,4.0,VENTURE,A,1200,7.29,0,0.12,N,4
30,48000,RENT,0.0,PERSONAL,A,7725,8.94,0,0.16,N,5
22,50000,OWN,3.0,EDUCATION,A,5000,7.29,0,0.1,N,4
24,78000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,8500,7.51,0,0.11,N,4
30,150000,OWN,5.0,PERSONAL,D,5425,,0,0.04,Y,5
28,88000,RENT,3.0,PERSONAL,B,10000,10.65,1,0.11,N,9
22,78000,OWN,6.0,PERSONAL,A,4000,7.74,0,0.05,N,4
26,37000,RENT,0.0,PERSONAL,B,14000,9.88,1,0.38,N,4
22,49200,MORTGAGE,,DEBTCONSOLIDATION,A,21000,7.51,0,0.43,N,4
28,65450,MORTGAGE,5.0,MEDICAL,D,15000,16.89,1,0.19,N,9
30,69996,RENT,0.0,EDUCATION,B,2000,10.65,0,0.03,N,9
26,150000,MORTGAGE,1.0,PERSONAL,B,6000,10.74,0,0.04,N,2
22,38000,MORTGAGE,4.0,VENTURE,D,4000,14.42,0,0.11,Y,2
30,62000,MORTGAGE,9.0,EDUCATION,C,5000,13.11,0,0.08,Y,8
27,54600,RENT,2.0,EDUCATION,C,1500,13.23,0,0.03,Y,8
27,60000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15000,11.86,0,0.25,N,8
38,16500,OWN,1.0,VENTURE,C,2000,13.23,0,0.12,N,11
22,49176,RENT,7.0,MEDICAL,C,17500,13.85,1,0.36,N,2
27,53004,MORTGAGE,10.0,DEBTCONSOLIDATION,B,5600,11.86,0,0.11,N,6
48,50000,RENT,18.0,HOMEIMPROVEMENT,A,10000,9.63,0,0.2,N,14
23,19250,RENT,1.0,HOMEIMPROVEMENT,E,6250,16.82,1,0.32,N,2
29,86000,MORTGAGE,5.0,PERSONAL,C,14000,14.27,0,0.16,N,9
32,60000,RENT,6.0,MEDICAL,C,6000,13.98,0,0.1,N,5
24,50000,RENT,8.0,VENTURE,B,16000,10.62,1,0.32,N,2
29,43200,OWN,13.0,PERSONAL,A,4625,5.42,0,0.11,N,6
22,32000,RENT,0.0,PERSONAL,D,7000,,1,0.22,Y,4
23,67000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,9250,5.79,0,0.14,N,2
28,56000,MORTGAGE,5.0,HOMEIMPROVEMENT,C,5050,12.29,1,0.09,Y,5
20,65000,MORTGAGE,4.0,EDUCATION,B,4800,9.99,0,0.07,N,2
23,108600,MORTGAGE,3.0,MEDICAL,C,8000,12.87,0,0.07,Y,2
32,60000,MORTGAGE,11.0,EDUCATION,B,15000,11.86,0,0.25,N,6
32,64000,RENT,1.0,EDUCATION,B,13000,10.99,0,0.2,N,9
26,105000,OWN,0.0,EDUCATION,A,10000,7.49,0,0.1,N,2
23,35000,RENT,6.0,EDUCATION,B,17000,10.37,1,0.49,N,2
29,140000,MORTGAGE,13.0,VENTURE,A,12600,,0,0.09,N,6
34,53000,OWN,9.0,HOMEIMPROVEMENT,A,9600,8.94,0,0.18,N,10
23,50000,MORTGAGE,7.0,MEDICAL,D,7500,15.62,1,0.15,N,3
38,35427,RENT,3.0,PERSONAL,C,5950,11.72,0,0.17,Y,11
32,85000,MORTGAGE,3.0,VENTURE,E,8000,18.79,0,0.09,Y,5
29,56000,MORTGAGE,4.0,EDUCATION,D,18000,14.61,0,0.32,Y,9
34,45600,RENT,6.0,DEBTCONSOLIDATION,B,15000,11.48,1,0.33,N,9
26,160000,RENT,6.0,PERSONAL,C,25000,12.23,0,0.16,Y,4
23,54000,MORTGAGE,3.0,VENTURE,D,4000,15.62,1,0.07,N,3
36,75000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,14400,10.25,0,0.19,N,15
22,50000,MORTGAGE,0.0,PERSONAL,B,2500,12.18,0,0.05,N,4
27,53321,RENT,11.0,MEDICAL,D,9000,15.58,1,0.17,Y,7
30,30000,MORTGAGE,5.0,PERSONAL,C,1100,14.65,1,0.04,N,10
23,114000,MORTGAGE,7.0,EDUCATION,C,8000,12.68,0,0.07,Y,3
35,56000,MORTGAGE,1.0,HOMEIMPROVEMENT,B,15000,11.26,0,0.27,N,10
25,38496,MORTGAGE,7.0,EDUCATION,A,8000,6.03,0,0.21,N,4
25,30000,OWN,3.0,HOMEIMPROVEMENT,B,11500,11.36,0,0.38,N,4
27,32000,MORTGAGE,0.0,VENTURE,A,9850,8.94,0,0.31,N,5
29,72000,RENT,13.0,DEBTCONSOLIDATION,D,2000,14.59,1,0.03,Y,8
26,165000,MORTGAGE,10.0,EDUCATION,C,20000,13.22,0,0.12,Y,4
28,78000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,24000,10.25,1,0.31,N,8
27,20400,RENT,3.0,MEDICAL,A,5500,6.91,0,0.27,N,7
32,27600,RENT,5.0,MEDICAL,B,3000,11.12,1,0.11,N,8
26,68000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,10000,5.79,0,0.15,N,2
27,24000,OWN,1.0,EDUCATION,C,6000,,0,0.25,N,7
23,126000,RENT,0.0,MEDICAL,C,8000,13.23,0,0.06,N,2
22,33716,OWN,6.0,EDUCATION,A,13750,6.92,0,0.41,N,2
32,91800,MORTGAGE,13.0,MEDICAL,D,8400,15.99,1,0.08,N,9
22,60000,RENT,0.0,PERSONAL,A,24000,7.29,1,0.4,N,3
23,57600,MORTGAGE,0.0,VENTURE,B,1000,,0,0.02,N,2
28,61000,MORTGAGE,12.0,PERSONAL,A,12000,6.03,0,0.2,N,7
36,40000,RENT,2.0,EDUCATION,C,11250,14.27,0,0.28,N,12
21,95000,MORTGAGE,5.0,VENTURE,A,15000,,0,0.16,N,2
34,67392,MORTGAGE,0.0,PERSONAL,C,15000,13.85,1,0.22,Y,5
24,80000,OWN,0.0,EDUCATION,A,16000,6.17,0,0.2,N,4
43,57000,RENT,3.0,EDUCATION,B,6000,10.75,0,0.11,N,13
25,41000,MORTGAGE,9.0,EDUCATION,C,5000,11.78,1,0.12,Y,3
26,63000,MORTGAGE,10.0,MEDICAL,A,10000,6.91,0,0.16,N,2
33,104000,MORTGAGE,15.0,MEDICAL,B,3500,10.74,0,0.03,N,6
25,37500,RENT,1.0,MEDICAL,C,10000,15.96,0,0.27,Y,4
26,36000,MORTGAGE,2.0,PERSONAL,A,7000,7.49,0,0.19,N,2
27,75000,RENT,2.0,EDUCATION,C,8000,13.49,0,0.11,Y,5
27,39000,MORTGAGE,6.0,DEBTCONSOLIDATION,B,6400,10.99,0,0.16,N,10
23,79000,MORTGAGE,7.0,EDUCATION,A,17825,6.62,0,0.23,N,2
24,88000,RENT,0.0,HOMEIMPROVEMENT,B,14000,9.99,0,0.16,N,3
36,108000,MORTGAGE,7.0,EDUCATION,A,14000,8.9,0,0.13,N,12
28,82000,MORTGAGE,3.0,HOMEIMPROVEMENT,D,25000,16.29,0,0.3,N,5
39,24000,RENT,9.0,EDUCATION,B,5000,11.14,0,0.21,N,12
26,74800,MORTGAGE,3.0,MEDICAL,D,10000,14.54,1,0.11,N,3
23,70000,RENT,1.0,VENTURE,C,3000,14.27,0,0.04,Y,2
24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,,1,0.4,N,2
24,66000,MORTGAGE,7.0,VENTURE,C,11200,13.99,0,0.17,N,2
26,12000,OWN,2.0,HOMEIMPROVEMENT,A,6100,7.51,1,0.51,N,4
34,28000,OWN,1.0,VENTURE,B,3000,9.99,0,0.11,N,10
26,50400,MORTGAGE,3.0,HOMEIMPROVEMENT,B,24000,9.91,0,0.48,N,3
27,116000,OWN,3.0,MEDICAL,A,6000,7.29,0,0.05,N,7
45,23000,OWN,2.0,PERSONAL,A,7000,7.29,0,0.3,N,15
25,50000,MORTGAGE,4.0,PERSONAL,A,6000,6.76,0,0.12,N,3
33,51888,MORTGAGE,13.0,PERSONAL,C,7000,13.98,0,0.13,N,10
25,150000,MORTGAGE,9.0,MEDICAL,B,12500,11.58,0,0.08,N,4
27,37000,RENT,3.0,EDUCATION,C,8000,13.49,0,0.22,Y,10
23,18000,RENT,1.0,PERSONAL,A,7000,7.88,1,0.39,N,4
51,72800,MORTGAGE,0.0,PERSONAL,A,5700,7.66,0,0.08,N,28
23,52176,MORTGAGE,3.0,EDUCATION,B,7500,10.59,0,0.14,N,3
27,96996,MORTGAGE,11.0,DEBTCONSOLIDATION,B,1500,10.95,0,0.02,N,10
28,25000,RENT,0.0,DEBTCONSOLIDATION,A,3000,5.42,0,0.12,N,6
37,65000,RENT,2.0,EDUCATION,C,13000,12.99,0,0.2,Y,12
25,40800,MORTGAGE,,HOMEIMPROVEMENT,A,8000,5.79,0,0.2,N,2
27,65304,MORTGAGE,6.0,HOMEIMPROVEMENT,A,5300,7.51,0,0.08,N,10
24,37000,RENT,8.0,EDUCATION,D,10500,,0,0.28,N,4
35,46000,RENT,3.0,MEDICAL,E,10000,17.14,0,0.22,N,5
23,75000,MORTGAGE,3.0,MEDICAL,C,11000,13.85,0,0.15,N,2
21,26000,MORTGAGE,5.0,MEDICAL,D,14500,14.61,1,0.56,Y,2
25,170000,MORTGAGE,0.0,EDUCATION,A,3850,6.17,0,0.02,N,4
37,66560,RENT,11.0,DEBTCONSOLIDATION,B,7200,10.0,0,0.11,N,15
39,182500,RENT,2.0,DEBTCONSOLIDATION,A,12500,5.42,0,0.07,N,14
27,32304,MORTGAGE,6.0,HOMEIMPROVEMENT,A,1200,6.76,1,0.04,N,9
25,30000,RENT,6.0,EDUCATION,B,4000,9.76,0,0.13,N,3
30,155000,RENT,9.0,MEDICAL,A,6000,7.14,0,0.04,N,8
43,11340,RENT,4.0,EDUCATION,C,1950,,1,0.17,N,11
27,28000,RENT,3.0,VENTURE,C,6000,13.92,0,0.21,N,6
23,75000,MORTGAGE,7.0,PERSONAL,A,10200,6.03,0,0.14,N,2
26,94800,MORTGAGE,10.0,DEBTCONSOLIDATION,A,14000,6.03,0,0.15,N,4
26,36000,MORTGAGE,3.0,EDUCATION,B,11000,10.59,1,0.31,N,4
27,50055,MORTGAGE,5.0,VENTURE,B,15000,10.62,0,0.3,N,5
33,51000,MORTGAGE,12.0,MEDICAL,A,7200,6.76,0,0.14,N,5
32,120000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,8000,8.9,0,0.07,N,6
26,51996,RENT,1.0,MEDICAL,C,10000,13.23,0,0.19,N,4
30,36000,RENT,0.0,MEDICAL,C,13000,13.61,1,0.36,N,8
22,56000,RENT,6.0,EDUCATION,E,18250,16.7,1,0.33,N,3
24,40000,RENT,0.0,MEDICAL,B,3600,10.59,0,0.09,N,4
26,40000,RENT,10.0,PERSONAL,D,6925,15.99,0,0.17,N,4
22,42000,MORTGAGE,6.0,MEDICAL,A,5000,8.94,0,0.12,N,2
26,60000,MORTGAGE,10.0,VENTURE,B,20000,12.69,0,0.33,N,2
22,36000,RENT,1.0,DEBTCONSOLIDATION,A,6000,7.51,0,0.17,N,2
24,80000,OWN,8.0,VENTURE,A,12000,7.49,0,0.15,N,3
29,47500,RENT,0.0,PERSONAL,A,12000,8.94,0,0.25,N,5
28,95000,OWN,4.0,HOMEIMPROVEMENT,B,25000,9.62,0,0.26,N,8
32,63000,MORTGAGE,12.0,EDUCATION,C,7000,13.57,0,0.11,Y,7
27,75600,MORTGAGE,4.0,PERSONAL,C,25000,13.61,0,0.33,N,6
22,50000,MORTGAGE,0.0,EDUCATION,A,12800,5.79,0,0.26,N,3
22,50000,RENT,6.0,EDUCATION,C,11000,13.49,0,0.22,Y,4
34,72000,MORTGAGE,11.0,VENTURE,B,5800,,0,0.08,N,9
24,71000,OWN,,HOMEIMPROVEMENT,A,10000,5.79,0,0.14,N,3
35,82008,MORTGAGE,7.0,HOMEIMPROVEMENT,A,7200,6.62,0,0.09,N,7
29,61656,RENT,4.0,PERSONAL,A,15000,6.91,0,0.24,N,9
25,105000,MORTGAGE,9.0,HOMEIMPROVEMENT,C,4800,15.23,0,0.05,Y,2
24,103000,MORTGAGE,8.0,PERSONAL,B,8000,10.74,0,0.08,N,3
24,30000,RENT,4.0,DEBTCONSOLIDATION,D,10000,,1,0.33,Y,3
22,103000,MORTGAGE,7.0,VENTURE,D,15000,15.99,0,0.15,Y,2
29,74100,RENT,3.0,HOMEIMPROVEMENT,C,4500,13.61,0,0.06,Y,6
27,49200,MORTGAGE,4.0,MEDICAL,A,2500,5.42,0,0.05,N,10
24,48000,MORTGAGE,5.0,HOMEIMPROVEMENT,A,17000,6.91,0,0.35,N,4
29,37920,RENT,2.0,PERSONAL,C,12000,13.48,1,0.32,Y,10
24,35000,OWN,1.0,VENTURE,E,3500,16.0,0,0.1,N,3
26,34000,RENT,5.0,DEBTCONSOLIDATION,A,7500,7.9,1,0.22,N,3
22,54000,MORTGAGE,3.0,PERSONAL,A,9000,7.51,0,0.17,N,3
31,65000,MORTGAGE,15.0,VENTURE,B,30000,12.69,0,0.46,N,9
23,58800,RENT,7.0,PERSONAL,B,3000,10.36,1,0.05,N,4
22,64000,RENT,7.0,VENTURE,D,13000,14.11,0,0.2,N,3
35,39800,RENT,5.0,DEBTCONSOLIDATION,B,2400,11.71,0,0.06,N,10
34,50004,RENT,6.0,EDUCATION,A,6000,7.88,0,0.12,N,5
40,164000,RENT,11.0,DEBTCONSOLIDATION,A,8000,,0,0.05,N,17
27,49000,RENT,11.0,VENTURE,B,4000,10.59,0,0.08,N,5
25,54000,RENT,6.0,DEBTCONSOLIDATION,D,14000,14.59,1,0.26,Y,4
26,22296,OWN,,PERSONAL,A,5400,5.42,0,0.24,N,3
27,42996,RENT,11.0,MEDICAL,C,7500,11.91,1,0.17,N,7
26,42000,RENT,6.0,VENTURE,A,5000,7.29,0,0.12,N,2
26,60000,MORTGAGE,10.0,VENTURE,A,12500,6.92,0,0.21,N,2
27,42000,RENT,3.0,DEBTCONSOLIDATION,B,8800,11.71,0,0.21,N,5
22,60000,MORTGAGE,1.0,EDUCATION,A,4800,7.49,0,0.08,N,3
21,10000,RENT,,MEDICAL,A,1450,7.51,0,0.14,N,4
31,56000,OWN,6.0,VENTURE,A,11500,,0,0.21,N,9
27,60000,RENT,0.0,HOMEIMPROVEMENT,A,7200,7.74,0,0.12,N,10
24,36000,MORTGAGE,3.0,MEDICAL,C,8000,13.61,0,0.22,N,2
26,62900,OWN,4.0,MEDICAL,E,24250,,1,0.33,Y,2
25,37000,RENT,1.0,DEBTCONSOLIDATION,F,4200,,1,0.11,Y,2
32,78000,RENT,0.0,VENTURE,C,13000,12.87,0,0.17,Y,10
22,45000,RENT,1.0,DEBTCONSOLIDATION,C,8000,12.84,0,0.18,Y,3
26,26000,OWN,0.0,DEBTCONSOLIDATION,E,8500,16.45,1,0.33,N,3
21,68100,MORTGAGE,5.0,DEBTCONSOLIDATION,E,17500,17.19,1,0.26,N,4
31,50000,RENT,5.0,MEDICAL,A,8800,6.17,0,0.18,N,9
37,52700,RENT,1.0,VENTURE,C,7700,,0,0.15,N,13
27,56400,RENT,9.0,EDUCATION,B,3000,11.83,0,0.05,N,9
38,81000,RENT,7.0,DEBTCONSOLIDATION,B,18000,10.59,0,0.22,N,16
26,78948,MORTGAGE,3.0,MEDICAL,B,17500,11.83,0,0.22,N,2
33,75000,OWN,17.0,PERSONAL,A,6000,7.68,0,0.08,N,7
37,140000,MORTGAGE,15.0,HOMEIMPROVEMENT,A,14000,7.51,0,0.1,N,12
28,35000,MORTGAGE,1.0,VENTURE,B,4000,10.99,0,0.11,N,6
33,71000,MORTGAGE,11.0,PERSONAL,C,6000,14.72,0,0.08,Y,7
30,100000,OWN,0.0,EDUCATION,A,8000,7.29,0,0.08,N,8
39,51000,OWN,12.0,EDUCATION,C,12000,11.34,0,0.24,N,17
29,190000,MORTGAGE,3.0,EDUCATION,B,14000,,0,0.07,N,6
30,130000,MORTGAGE,14.0,VENTURE,B,7000,9.91,0,0.05,N,9
24,130000,MORTGAGE,6.0,PERSONAL,B,20000,11.58,0,0.15,N,2
26,53155,MORTGAGE,10.0,MEDICAL,A,4000,6.76,0,0.08,N,3
22,51480,MORTGAGE,4.0,PERSONAL,B,3000,11.83,0,0.06,N,2
25,35000,RENT,5.0,VENTURE,B,9600,9.91,0,0.27,N,2
32,30000,RENT,4.0,PERSONAL,C,3000,13.49,0,0.1,Y,6
25,129996,MORTGAGE,9.0,VENTURE,B,7500,11.86,0,0.06,N,3
33,108000,RENT,11.0,VENTURE,B,3000,11.36,0,0.03,N,5
26,100840,RENT,10.0,DEBTCONSOLIDATION,B,7000,9.99,0,0.07,N,3
25,18204,RENT,0.0,EDUCATION,C,4500,13.61,1,0.25,N,2
30,85000,RENT,5.0,VENTURE,D,5000,15.05,0,0.06,N,9
34,80000,RENT,4.0,EDUCATION,A,5000,6.17,0,0.06,N,8
25,118000,MORTGAGE,8.0,HOMEIMPROVEMENT,A,15000,7.88,0,0.13,N,4
24,64000,MORTGAGE,7.0,HOMEIMPROVEMENT,C,16000,14.65,1,0.25,N,2
28,38400,RENT,0.0,PERSONAL,B,3000,9.25,0,0.08,N,10
22,50285,MORTGAGE,6.0,DEBTCONSOLIDATION,C,7000,13.11,0,0.14,Y,4
23,57700,MORTGAGE,7.0,PERSONAL,B,3500,10.65,0,0.06,N,2
23,43200,MORTGAGE,5.0,VENTURE,B,10000,12.69,0,0.23,N,3
30,60600,MORTGAGE,1.0,MEDICAL,A,3000,7.12,0,0.05,N,5
26,38832,RENT,0.0,DEBTCONSOLIDATION,B,10000,10.37,0,0.26,N,2
44,94128,MORTGAGE,14.0,DEBTCONSOLIDATION,A,4400,7.29,0,0.05,N,13
30,40000,RENT,1.0,PERSONAL,A,5500,7.74,0,0.14,N,6
23,65000,MORTGAGE,7.0,VENTURE,B,13750,9.62,0,0.21,N,3
23,42000,RENT,2.0,EDUCATION,C,4550,15.23,0,0.11,N,4
25,23040,RENT,0.0,DEBTCONSOLIDATION,C,3200,14.79,0,0.14,N,2
30,200000,MORTGAGE,0.0,HOMEIMPROVEMENT,A,10000,8.59,0,0.05,N,7
23,70000,MORTGAGE,7.0,EDUCATION,C,2000,13.49,0,0.03,Y,2
